sample_time,amplitude_sampled,amplitude_quantized_8bit,binary_code_8bit
0.0,-0.1970189487037184,-0.19999999999999996,01100110
0.00012578616352201257,-0.16182764413475764,-0.16078431372549018,01101011
0.00025157232704402514,-0.1340545618551689,-0.13725490196078427,01101110
0.0003773584905660377,-0.10063441582434417,-0.0980392156862745,01110011
0.0005031446540880503,-0.06540920394102712,-0.06666666666666665,01110111
0.0006289308176100629,-0.07515057590077522,-0.07450980392156858,01110110
0.0007547169811320754,-0.06340268875030103,-0.06666666666666665,01110111
0.000880503144654088,-0.04922444497964813,-0.050980392156862786,01111001
0.0010062893081761006,-0.02803486669189772,-0.027450980392156876,01111100
0.001132075471698113,-0.00021690708448465594,-0.0039215686274509665,01111111
0.0012578616352201257,0.026603279934299597,0.027450980392156765,10000011
0.0013836477987421384,0.03547303446030285,0.0352941176470587,10000100
0.0015094339622641509,0.053212543512308995,0.050980392156862786,10000110
0.0016352201257861633,0.1333838951226821,0.13725490196078427,10010001
0.001761006289308176,0.2988640551053694,0.3019607843137255,10100110
0.0018867924528301887,0.42104058555937346,0.41960784313725497,10110101
0.002012578616352201,0.43165008449403564,0.43529411764705883,10110111
0.0021383647798742136,0.4649500590136861,0.46666666666666656,10111011
0.002264150943396226,0.5233130238493078,0.5215686274509803,11000010
0.002389937106918239,0.5333241584129781,0.5294117647058822,11000011
0.0025157232704402514,0.5128790451301368,0.5137254901960784,11000001
0.002641509433962264,0.36678987986339345,0.3647058823529412,10101110
0.002767295597484277,0.19249481542204358,0.19215686274509802,10011000
0.0028930817610062893,0.09431718397759724,0.0980392156862746,10001100
0.0030188679245283017,0.024576320627564704,0.027450980392156765,10000011
0.003144654088050314,-0.14999099960258583,-0.15294117647058825,01101100
0.0032704402515723267,-0.27411420881021703,-0.2705882352941177,01011101
0.0033962264150943396,-0.37912964910417374,-0.3803921568627451,01001111
0.003522012578616352,-0.42131184407422306,-0.41960784313725497,01001010
0.0036477987421383645,-0.3905997954591128,-0.388235294117647,01001110
0.0037735849056603774,-0.3801349012474401,-0.3803921568627451,01001111
0.00389937106918239,-0.40764171138193744,-0.403921568627451,01001100
0.004025157232704402,-0.35019923040369183,-0.34901960784313724,01010011
0.004150943396226415,-0.24026423770622984,-0.23921568627450984,01100001
0.004276729559748427,-0.1656317456233385,-0.16862745098039222,01101010
0.00440251572327044,-0.0884970931957494,-0.09019607843137256,01110100
0.004528301886792452,-0.05240475161147023,-0.050980392156862786,01111001
0.004654088050314465,-0.03101821171826801,-0.027450980392156876,01111100
0.004779874213836478,0.020999098962984658,0.019607843137254832,10000010
0.00490566037735849,0.039361904234774606,0.04313725490196085,10000101
0.005031446540880503,0.008123793610166711,0.0117647058823529,10000001
0.005157232704402516,0.010051524158712145,0.0117647058823529,10000001
0.005283018867924528,-0.0032356553361386855,-0.0039215686274509665,01111111
0.005408805031446541,-0.03613622163815214,-0.03529411764705881,01111011
0.005534591194968554,-0.04576789346321859,-0.04313725490196085,01111010
0.005660377358490566,-0.04531114199336091,-0.04313725490196085,01111010
0.0057861635220125785,-0.07528770106912742,-0.07450980392156858,01110110
0.005911949685534591,-0.07322483990013272,-0.07450980392156858,01110110
0.0060377358490566035,-0.10545424083268368,-0.10588235294117654,01110010
0.006163522012578616,-0.12571037070168695,-0.12941176470588234,01101111
0.006289308176100628,-0.10326522450880493,-0.10588235294117654,01110010
0.006415094339622641,-0.1351316177229543,-0.13725490196078427,01101110
0.006540880503144653,-0.13256812503022972,-0.12941176470588234,01101111
0.006666666666666666,-0.11958561272760922,-0.1215686274509804,01110000
0.006792452830188679,-0.1142292543332801,-0.11372549019607847,01110001
0.006918238993710691,-0.09173773490164701,-0.09019607843137256,01110100
0.007044025157232704,-0.05939963110836539,-0.05882352941176472,01111000
0.007169811320754717,-0.04854679732949982,-0.050980392156862786,01111001
0.007295597484276729,0.004020509936089418,0.0039215686274509665,10000000
0.007421383647798742,0.3483906740923678,0.34901960784313735,10101100
0.007547169811320755,0.639332883562781,0.6392156862745098,11010001
0.007672955974842767,0.6394879596622631,0.6392156862745098,11010001
0.00779874213836478,0.7105591864638012,0.7098039215686274,11011010
0.007924528301886792,0.8162093916279837,0.8196078431372549,11101000
0.008050314465408805,0.7744724794773487,0.7725490196078431,11100010
0.008176100628930818,0.80097403746858,0.803921568627451,11100110
0.00830188679245283,0.5405025363169772,0.5372549019607842,11000100
0.008427672955974842,0.20787228111956102,0.2078431372549019,10011010
0.008553459119496854,0.012364701089572886,0.0117647058823529,10000001
0.008679245283018867,-0.031056606765405836,-0.027450980392156876,01111100
0.00880503144654088,-0.3760510644154209,-0.37254901960784315,01010000
0.008930817610062893,-0.5116568859023864,-0.5137254901960784,00111110
0.009056603773584904,-0.7255033366293219,-0.7254901960784313,00100011
0.009182389937106917,-0.7542422787310884,-0.7568627450980392,00011111
0.00930817610062893,-0.6841508735870495,-0.6862745098039216,00101000
0.009433962264150943,-0.6082687972427366,-0.607843137254902,00110010
0.009559748427672956,-0.6380060105701063,-0.6392156862745098,00101110
0.009685534591194969,-0.3768354203783955,-0.3803921568627451,01001111
0.00981132075471698,-0.1722526473883674,-0.16862745098039222,01101010
0.009937106918238993,0.01146865044401035,0.0117647058823529,10000001
0.010062893081761006,0.17412802105444763,0.17647058823529416,10010110
0.010188679245283019,0.23014290437090226,0.2313725490196079,10011101
0.010314465408805032,0.27147891239297456,0.2705882352941176,10100010
0.010440251572327043,0.35650399632604235,0.3568627450980393,10101101
0.010566037735849056,0.2794885181356771,0.2784313725490195,10100011
